"Part";"Value";"Device";"Package";"Description";"";
"C1";"";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C2";"10uf";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C3";"470ìêô";"CPOL-EUE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, European symbol";"";
"C5";"470 pf";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C7";"470ìêô";"CPOL-EUE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, European symbol";"";
"D1";"MBRS130LT3";"MBRS130LT3";"SMB";"Schottky Power Rectifier";"";
"H1";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";
"H2";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";
"H3";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";
"H4";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";
"IC1";"MC34063AD";"MC34063AD";"SOIC8";"";"";
"J1";"DM3AT-SF-PEJM5";"DM3AT-SF-PEJM5";"DM3AT-SF-PEJM5";"CONN MICRO SD R/A PUSH-PUSH SMD";"";
"J2";"POWER_JACK";"POWER_JACK";"POWER_JACK_PTH";"Power Jack Connector";"";
"JP1";"Select";"PINHD-1X3";"1X03";"PIN HEADER";"";
"JP2";"Serial";"PINHD-1X6";"1X06";"PIN HEADER";"";
"JP3";"GPS";"PINHD-1X5";"1X05";"PIN HEADER";"";
"JP5";"OLED";"PINHD-1X4";"1X04";"PIN HEADER";"";
"L1";"220 uH";"SD12K-82";"SD12K-82";"INDUCTOR";"";
"MDL1";"ESP8266-12F";"ESP8266-12EESP8266-ESP12E";"ESP8266-ESP12E";"ESP8266-12E with additional I/O and GPIO04/05 corrected";"";
"R1";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R2";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R3";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R4";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R5";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R6";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R7";"1k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R8";"3.6k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R9";"0.33";"R-EU_0411/3V";"0411V";"RESISTOR, European symbol";"";
"R10";"1.2k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R11";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"S1";"Config";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";"";
